No,Date,Time,App,Type,TimeSpan,Problem,Situation,What,How
51,2021-05-13,18:32:00 PM,나무투자증권,기타,5,O,달러를 원화로 환전 시도,은행 업무 시간이 아니라 환전 실패,은행 업무 시간이 아님을 더 눈에 띄게 표시
52,2021-05-13,13:11:00 PM,나무투자증권,조회,3,X,보유 주식 주가 확인,예수금 출금 가능일자 확인이 번거로움,.
56,2021-05-15,23:53:21 PM,나무투자증권,조회,10,O,해외 주식 주가 확인,"수익률을 보여줄때도 있고, 절대적인 수익량을 보여줄 때도 있어 어느 경우에 어떤 걸 보여주는지 모호함",수익률을 보여주는 것으로 통일
57,2021-05-15,23:53:21 PM,나무투자증권,기타,10,O,해외 주식 구입 및 체결,"원하는 가격에 미체결 되었을 때, 걸어놓은 거래를 취소하고 다시 매수를 걸어야하는데, 이에 대한 설명이 없다",처음 사용하는 기능에 대한 가이드 라인 제공
71,2021-05-13,13:30,영웅문S,기타,5,O,은행 업무를 위해서 계좌 비밀번호를 입력하고자 하였음,숫자로만 이루어진 계좌 비밀번호임에도 입력창이 키보드로 나와서 입력시 실수를 유발함. 더불어 인증서 비밀번호 입력창과 똑같아 혼동을 일으킴,숫자로만 이루어진 비밀번호 입력시 숫자 키패드만 제시
72,2021-05-14,11:00,영웅문S,기타,5,O,보유하고 있는 주식을 추가 매수하고자 하였음,이미 보유하고 있는 주식의 경우 매도 버튼만 제시함.,매도와 매수 버튼 모두 제시
78,2021-05-20,9:10,영웅문S,기타,10,O,어플에 접속하려했으나 접속에 지속적으로 실패함,어떠한 이유로 접속에 실패하였는지 정확히 알려주지 않고 오류 코드를 알려주었으나 이마저도 검색되지 않았음,오류 발생 시 어떠한 이유로 오류가 발생하고 어떻게 조치해야하는지 알려줌
155,2021-05-13,10:00,미래에셋증권,이체,20,O,주식 계좌에 있는 돈을 타 계좌로 이체하고 싶음.,"증권/주식 계좌이다 보니, 홈페이지 화면과 메뉴탭에는 주식 관련된 내용만 많음. 따라서, 이체나 조회관련 항목은 비교적 제일 아래 위치하여 찾기 어려움",메뉴 탭을 더 큰 주제로 범주화했으면 좋겠음
156,2021-05-17,10:05,미래에셋증권,결제,5,O,특정 주식을 매도하려고 함,"매도를 한 후, 매도 가격에 대한 확인 정보를 보여주지 않음. 결제내역을 들어가서 확인해야 함",팝업창으로 매도 가격을 다시 한번 알려줬음 좋겠음
161,2021-05-14,15:37,삼성증권 mPOP,기타,22,O,카카오 주가 차트를 확인하고 매수주문을 넣고 싶은 상황,비밀번호 입력을 한 후 주문을 할 때에는 따로 인증 과정이 필요하지 않기 때문에 실수로 잘못 주문할 가능성이 있음,주문 실수를 방지하기 위해 비밀번호 입력 또는 지문인증 과정을 매수 버튼 누른 이후 하여야 함
162,2021-05-14,23:12,KB증권 M-Able,기타,30,O,보유 주식을 일부만 매도하고 싶은 상황,현재 보유하고 있는 수량에 대한 정보가 주어지지 않아 보유 수량보다 큰 주문을 해도 실패하기 전까지 알 방법이 없음,현재 보유 주 수에 대한 제약가 주어져야함
166,2021-05-17,11:18,KB증권 M-Able,기타,17,O,네이버 주식 차트를 조회하고 추가매수 하고싶은 상황,주식을 주문하기 위해 주문가격을 정하고 매수주문을 넣는 과정에 계좌 선택이 잘못 되었다는 안내가 명시적으로 되지 않음,모든 계좌의 잔액을 합쳐서 주문할 수 있는 방법 도입 / 계좌잔액보다 큰 금액을 입력할 수 없도록 하는 제약를 도입하여야 함
168,2021-05-18,21:11,KB증권 M-Able,조회,1,O,총 자산 현황 조회,"홈화면에서 가장 필요한 정보 (총자산현황, 주요 지수, 환율) 를 한번에 확인 할 수 없고 각각의 정보를 알기 위해서는 메뉴를 통해 접근해야 함",커스터마이징 가능한 홈화면을 사용할 수 있도록 하여야 함
195,2021-05-17,9:40,영웅문S,결제,3,O,"주식을 사고자 하여 보유자산을 확인하고 매수를 하려고 할 때, 공인인증서 비밀번호를 입력하는 과정",공인인증서 비밀번호를 입력하는 화면에서 다른 어플로 이동하였다가 다시 돌아오면 비밀번호를 정확하게 입력하더라도 틀렸다고 나타나는 경우가 있음,보안성의 문제로 일부로 해놓은 것인지 확신할 수는 없지만 인증서 비밀번호를 5번 실패할경우 사용할 수 없기 때문에 귀찮은 상황이 발생할 수 있었으므로 해당 오류를 수정하거나 공지를 통해 사용자에게 인식을 시켜야한다.
199,,,영웅문S,조회,10,O,주식 장 시작시간에 자산확인을 확인하고 매매를 하려고 하였음,로딩화면에서 오류가 나서 접속이 지연되어 중요한 시점에 조회 및 매매를 하지 못하였음,사용자가 몰려서인지 서버의 문제인지는 확신할 수 없으나 어플리케이션의 업데이트가 필요함
212,2021-05-?,,SK증권,기타,10,O,주식주문을 이용하려고 했으나 해당 앱에서 불가능했다.,에스케이 자사앱 주파수라는 앱을 깔아야만 가능했다.,왜 굳이 앱을 분리했는지 모르겠다. 하나로 통합시킨다.
213,2021-05-?,,SK증권 (주파수),기타,10,X,.,문제로 인해 주파수라는 어플을 깔았다.,.
214,2021-05-?,,SK증권 (주파수),기타,5,O,다른 증권앱과 달리 최근 내가 들어갔던 카테고리를 모아둔 곳이 없었다.,"주문, 자산확인, 이체 등 자주 들어가는 카테고리가 묶여있지 않아 매번 따로 찾아야했다.",최근 이용 혹은 자주 이용 등으로 자주 사용하는 서비스들을 묶을 수 있었으면 좋겠다.
215,2021-05-14,9:32,미래에셋증권,조회,10,O,순간적으로 계좌 비밀번호를 까먹었다.,계좌 이체하는 화면과 계좌의 비밀번호를 찾는 화면이 달라서 번거로웠다. 다른 화면에 들어가 비밀번호를 찾은 뒤 다시 액수를 설정하여 이체해야했다.,비밀번호를 입력하는 화면에서 비밀번호를 찾는 페이지로 바로 들어갈 수 있도록 한다.
216,2021-05-14,11:45,미래에셋증권,이체,5,O,타증권뱅킹앱과 달리 미래에셋증권 앱에서는 송금할 때 공인인증서가 필요했다.,공인인증서가 없어서 카카오페이에 미래에셋증권계좌를 연동시킨 뒤 송금할 수 있었다.,"어차피 공인인증서가 없어도 카카오페이를 이용하여 결제할 수 있었으므로, 공인인증서가 아닌 다른 방법으로 본인 인증할 수 있었으면 좋겠다."
222,2021-05-14,9:03,미래에셋대우,기타,0.1,O,"어플을 사용할 때마다 업데이트 확인 및 보안 확인을 진행하며, 로그인 시에도 비밀번호 입력 후 계정 접속할 때까지 삼초 가량의 시간이 소요",기본적으로 접속할 때까지 간편비밀번호 로그인방식을 사용하더라도 십초 이상의 시간이 소요되므로 타 은행에 비해 훨씬 많은 시간이 걸림. 주식 거래에 방해가 됨,"내부 시스템을 잘 모르지만, 개선을 통해 로그인 시간 단축이 필요"
232,2021-05-15,13:10,키움증권 영웅문s,기타,10,O,키움증권 앱을 활용하여 주식을 매매함. 호가 매매를 하기 위해 호가창을 보며 적정 시기를 기다림. 기다리다 본인이 생각했던 매수시기에 매수하려 하니 보안 로그인을 다시 하라고 나와 시기를 놓쳐 매수에 실패함.,"주식 호가창을 띄워 놓고 있다가, 매매 할시에 일정 시간이 지나면 보안 로그인을 다시 해야하는 상황이 자주 생김.","일정 시간이 지나면 로그인을 다시 해야 보안이 높아지는 시스템은 이해하나, 너무 잦아 시스템 이용에 불편을 초래함. 따라서 이용의 편의성을 위해 횟수를 줄일 필요가 있어 보임."
235,2021-05-16,14:54,키움증권 영웅문s,이체,2,X,주식 투자 자금을 키움 증권 계좌에 입금 후 증권 앱 내의 예수금 조회 기능을 활용해 잔고의 상태를 확인함.,"예수금 조회 화면에 인출가능금액, 예수금, 대용금, 미수금 등 금액이 날짜별로 명확하게 구분되어 있어 나의 투자금 현황을 한눈에 파악할 수 있다.",.
238,2021-05-17,14:17,키움증권 영웅문s,기타,20,O,관심종목으로 지정해 놓은 종목 이외의 종목의 주가를 확인하기 위해 관심종목 설정에 들어가서 검색하여 종목을 찾아 추가하였다.,"관심 종목이외의 다른 다양한 종목들의 주가 반응을 살피기 위해서는 관심종목에 모두 검색하여 추가를 눌러야만 확인이 가능함. 즉, 전반적인 장의 추세와 해당 일에 관심받는 섹터를 모바일 앱 상으로 확인하기 어려움.",키움 증권 배너에 장의 추세와 섹터별 지수를 추가하여 주식 투자자들에게 전반적인 장의 이해를 도울 수 있는 항목을 마련한다.
334,2020-05-15,17:50,글로벌s 영웅문,조회,1,O,글로벌 영웅문은 달러를 우리나라 돈으로 환산시켜 원화로 잔액을 알려주는 것이다. 현재 원화추정자산을 조회하였다.,"환율이 명시되어 있지 않아서 바뀐 환율이 적용된 건지, 어느 시간대 환율이 적용된건지 아무것도 모른다.",환율을 명시해는다.
345,2021-05-15,14:23,신한알파,조회,10,O,지엠이 손절 후 투자한 애플 주식 배당금 확인,주린이에게 배당금 확인 방법을 공지하지 않음,배당금 지급을 별도 화면으로 표시
346,2021-05-15,23:39,신한알파,이체,23,O,애플 주식 부분 매도 후 이체하려고 함,"해외 주식은 매도 후 입금 지연으로, 이체 불가",(해결이 사실상 불가능한 정책적인 사안)
363,15-5-2021,13:45,미래에셋,조회,1,O,"대화 중 주식관련 얘기, 현재 주식내역 조회","인터페이스의 각 아이콘들이 너무 작음, 밀러의 룰 준수하지 않음",보다 직관적인 인터페이스 매핑의 필요성
372,2021-05-14,18:53,나무,기타,5,O,공동인증서 만료로 인한 신규 발급,"공동 인증서의 만료 기한이 비교적 짧고, 보안 수단이 복잡하여 까먹는 경우가 많다",생체 인증 등 대안적인 인증이 필요할 것으로 보임
373,2021-05-16,9:00,나무,기타,3,O,이전에 걸어 놓은 관심종목 시세 변동 알림이 계속 발생,알림을 해제하는 기능을 찾기가 어려움,알림 설정과 해제를 직관적으로 할 수 있었으면 좋겠음
375,2021-05-18,20:21,나무,기타,2,O,선물 옵션 트레이딩 인터페이스를 배우는 과정,"거래 과정이 직관적이지 않았고, 각 상품에 대한 설명을 찾아보기가 어려웠음",옵션 트레이딩에 대한 이해를 개선하고 트레이딩 인터페이스를 개선할 필요가 보였음
377,2021-05-19,12:50,나무,기타,6,O,조건 검색식을 통해 원하는 주식을 찾고 있었음,조건 검색식에서 원하는 조건을 반영하고 주식을 찾는게 쉽지 않았음,각각의 지표가 어떤 지표인지 자세하게 설명해줄 필요가 있음. 또한 조건 검색식의 조건을 명료하게 드러내야함
379,20201-05-20,11:00,나무,기타,10,O,해외 기업 리서치 중,특정 해외 기업의 주식 병합 이벤트가 반영이 안되어 있음,해외 이벤트를 즉각적으로 반영할 수 있는 시스템
406,2021-05-18,22:03,신한알파,조회,20,O,어플이 개편되었다.,어플이 개편되면서 기존의 어플 계좌 정보가 날아갔다. 오래 쓰던 어플이었는데 다시 로그인을 하기 위해 여러가지 인증을 다시 진행해야 했다.,어플을 개편하더라도 계좌정보는 유지를 해주면 좋겠다.
